sku,name,cost,Platform Overlap,Both,Only Zoey
OSFJ58BM,Stealth Fighter Jig 5/8oz Bream,3.2,Both,,
OSFJ58BSH,Stealth Fighter Jig 5/8oz Black Sapphire,3.2,Both,,
OSFJ58BT,Stealth Fighter Jig 5/8oz  Black Light,3.2,Both,,
OSFJ58FC,Stealth Fighter Jig 5/8oz Fighter Craw,3.2,Both,,
OSFJ58MC,Stealth Fighter Jig 5/8oz Money Craw,3.2,Both,,
OSFJ34BBA,Stealth Fighter Jig 3/4oz Blk/Brown Amber,3.2,Both,,
OSFJ34BM,Stealth Fighter Jig 3/4oz Bream,3.2,Both,,
OSFJ34BSH,Stealth Fighter Jig 3/4oz Black Sapphire,3.2,Both,,
OSFJ34BT,Stealth Fighter Jig 3/4oz Black Light,3.2,Both,,
OSFJ34FC,Stealth Fighter Jig 3/4oz Fighter Craw,3.2,Both,,
OSFJ34MC,Stealth Fighter Jig 3/4oz Money Craw,3.2,Both,,
Skirt-TBBA-5pk,Frogs Hair Skirt Blk/Brown Amber,1.8,Only Zoey,,
Skirt-TBM-5pk,Frogs Hair Skirt Bream,1.8,Only Zoey,,
Skirt-TBS-5pk,Frogs Hair Skirt Black Saphire,1.8,Only Zoey,,
Skirt-TBL-5pk,Forgs Hair Skirt Black Light,1.8,Only Zoey,,
Skirt-TFC-5pk,Frogs Hair Skirt Fighter Craw,1.8,Only Zoey,,
Skirt-TMC-5pk,Frogs Hair Skirt Money Craw,1.8,Only Zoey,,
Skirt-SAS-5pk,Swim Jig Skirt Alabama Shad,1.8,Only Zoey,,
Skirt-SBB-5pk,Swim Jig Skirt Black Blue,1.8,Only Zoey,,
Skirt-SBG-5pk,Swim Jig Skirt Bold Gill,1.8,Only Zoey,,
Skirt-SDM-5pk,Swim Jig Skirt Dirty Money,1.8,Only Zoey,,
Skirt-SGS-5pk,Swim Jig Skirt Ghost Shad,1.8,Only Zoey,,
Skirt-SMGC-5pk,Swim Jig Skirt Magic Craw,1.8,Only Zoey,,
Skirt-SPR-5pk,Swim Jig Skirt Perch,1.8,Only Zoey,,
Skirt-SSC-5pk,Swim Jig Skirt Shell Cracker,1.8,Only Zoey,,
Skirt-SWL-5pk,Swim Jig Skirt White Lightning,1.8,Only Zoey,,
Skirt-SWR-5pk,Swim Jig Skirt White Rainbow,1.8,Only Zoey,,
Skirt-JJBS-5pk,Jig Skirt Bruise,1.8,Only Zoey,,
Skirt-JJSF-5pk,Jig Skirt Sunfish,1.8,Only Zoey,,
Skirt-JJBB-5pk,Jig Skirt Black Blue,1.8,Only Zoey,,
Skirt-JJPBJ-5pk,Jig Skirt Peanut Butter and Jelly,1.8,Only Zoey,,
Skirt-JJGC-5pk,Jig Skirt Gator Craw,1.8,Only Zoey,,
SRC1-5-BB,Slix (S2) Casting 5ft Black/Blue (Rod length up to 7ft),2.59,Only Zoey,,
SRC1-5-BO,Slix (S2) Casting 5ft Black/Orange (Rod length up to 7ft),2.59,Only Zoey,,
SRC1-55-BB,Slix (S2) Casting 5.5ft Black/Bluee (Rod length up to 7.5ft),2.59,Only Zoey,,
SRC1-55-BO,Slix (S2) Casting 5.5ft Black/Orange (Rod length up to 7.5ft),2.59,Only Zoey,,
SRC112-5-BB,Slix (S2) Spinning 5ft Black/Blue (Rod length up to 7ft),2.59,Only Zoey,,
SRC112-5-BO,Slix (S2) Spinning 5ft Black Orange (Rod length up to 7ft),2.59,Only Zoey,,
SRC112-6-BB,Slix (S2) Spinning 6ft Black/Blue (Rod length up to 8ft),2.59,Only Zoey,,
SRC112-6-BO,Slix (S2) Spinning 6ft Black Orange (Rod length up to 8ft),2.59,Only Zoey,,
OCFJ38DP,Cage Fighter Jig 3/8oz Ditch Pickle,3.2,Both,,
OCFJ38T,Cage Fighter Jig 3/8oz Tilapia,3.2,Both,,
OCFJ38GPC,Cage Fighter Jig 3/8oz Green Pumpkin Craw,3.2,Both,,
OCFJ12DP,Cage Fighter Jig 1/2oz Ditch Pickle,3.2,Both,,
OCFJ12T,Cage Fighter Jig 1/2oz Tilapia,3.2,Both,,
OCFJ12GPC,Cage Fighter Jig 1/2oz Green Pumpkin Craw,3.2,Both,,
OCFJ58DP,Cage Fighter Jig 5/8oz Ditch Pickle,3.2,Both,,
OCFJ58T,Cage Fighter Jig 5/8oz Tilapia,7.54,Both,,
OCFJ58GPC,Cage Fighter Jig 5/8oz Green Pumpkin Craw,3.2,Both,,
OSFJ38DP,Stealth Fighter Jig 3/8oz Ditch Pickle,3.2,Both,,
OSFJ38T,Stealth Fighter Jig 3/8oz Tilapia,3.2,Both,,
OSFJ38GPC,Stealth Fighter Jig 3/8oz Green Pumpkin Craw,3.2,Both,,
OSFJ12DP,Stealth Fighter Jig 1/2oz Dith Pickle,3.2,Both,,
OSFJ12T,Stealth Fighter Jig 1/2oz Tilapia,3.2,Both,,
OSFJ12GPC,Stealth Fighter Jig 1/2oz Green Pumpkin Craw,3.2,Both,,
OSFJ58DP,Stealth Fighter Jig 5/8oz Dith Pickle,3.2,Both,,
OSFJ58T,Stealth Fighter Jig 5/8oz Tilapia,3.2,Both,,
OSFJ58GPC,Stealth Fighter Jig 5/8oz Green Pumpkin Craw,3.2,Both,,
OSFJ34DP,Stealth Fighter Jig 3/4oz Dith Pickle,3.2,Both,,
OSFJ34T,Stealth Fighter Jig 3/4oz Tilapia,3.2,Both,,
OSFJ34GPC,Stealth Fighter Jig 3/4oz Green Pumpkin Craw,3.2,Both,,
OCNJ14PR,Chicken Nugget 1/4oz Perch,6.28,Both,,
OCNJ14BG,Chicken Nugget 1/4oz Bluegill,6.28,Both,,
OCNJ14LS,Chicken Nugget 1/4oz Chartruese Shad,6.28,Both,,
OCNJ38PR,Chicken Nugget 3/8oz Perch,6.28,Both,,
OCNJ38BG,Chicken Nugget 3/8oz Bluegill,6.28,Both,,
OCNJ38LS,Chicken Nugget 3/8oz Chartruese Shad,6.28,Both,,
OCNJ12PR,Chicken Nugget 1/2oz Perch,6.28,Both,,
OCNJ12BG,Chicken Nugget 1/2oz Bluegill,6.28,Both,,
OCNJ12LS,Chicken Nugget 1/2oz Chartruese Shad,6.28,Both,,
