sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
OSJH38AS,Pro Swim Jig Heavy 3/8oz Alabama Shad,2.16,3.47,5.99,False,18.0,1.0,19.0,14.0,85.0,111.0,0.0,83.86,0.0,17.97,83.86,17.97,0.5,0.9340659340659341,0.9340659340659341,20.3,0.7,180,187.0,168.0,True,False,41.04,0.0,4.23,39.33
OJPJ38RS,JackPot Jig 3/8oz Rainbow Shad,3.21,5.21,8.99,False,18.0,4.0,22.0,16.0,95.0,146.0,29.64,98.89,0.0,0.0,128.53,0.0,0.5714285714285714,1.043956043956044,1.043956043956044,21.1,0.8,180,209.0,187.0,True,False,70.62,0.0,6.34,68.86
OGSH1810GP,Golden Eye Swimmer Head 1/8oz (1/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,0.0,11.0,11.0,12.0,40.0,133.0,39.48,0.0,0.0,0.0,39.48,0.0,0.42857142857142855,0.43956043956043955,0.43956043956043955,25.0,0.9,180,88.0,77.0,True,False,20.02,0.0,4.23,26.51
OJPJ38GS,JackPot Jig 3/8oz Guntersville Shad,3.21,5.21,8.99,False,36.0,9.0,45.0,13.0,135.0,213.0,29.64,71.92,0.0,0.0,101.56,0.0,0.4642857142857143,1.4835164835164836,1.4835164835164836,30.3,1.1,180,297.0,252.0,True,False,144.45,0.0,6.34,140.85
OJJ38BB,Juice Jig 3/8oz Black Blue,1.96,3.47,5.99,False,60.0,0.0,60.0,60.0,162.0,395.0,159.0,71.88,0.0,0.0,230.88,0.0,2.142857142857143,1.7802197802197801,1.7802197802197801,33.7,1.2,180,356.0,296.0,True,False,117.6,0.0,4.23,136.2
OCFJ58MP,Cage Fighter Jig 5/8oz Mud Puppy,3.2,4.92,8.99,False,0.0,3.0,3.0,2.0,8.0,9.0,0.0,19.98,0.0,0.0,19.98,0.0,0.07142857142857142,0.08791208791208792,0.08791208791208792,34.1,1.2,180,18.0,15.0,True,False,9.6,0.0,6.14,8.82
OED16SH,Eyedrop 1/16oz Shad,3.5,6.17,10.29,False,60.0,14.0,74.0,43.0,184.0,252.0,109.5,288.12,0.0,0.0,397.62,0.0,1.5357142857142858,2.021978021978022,2.021978021978022,36.6,1.3,180,404.0,330.0,True,False,259.0,0.0,7.41,289.34
OJPJ12BG,JackPot Jig 1/2oz Bluegill,3.21,5.21,8.99,False,36.0,6.0,42.0,13.0,104.0,189.0,29.64,89.9,0.0,8.99,119.54,8.99,0.4642857142857143,1.1428571428571428,1.1428571428571428,36.8,1.3,180,229.0,187.0,True,False,134.82,0.0,6.34,131.46
OSJH38MGC,Pro Swim Jig Heavy 3/8oz Magic Craw,2.16,3.47,5.99,False,36.0,6.0,42.0,24.0,99.0,185.0,19.74,107.82,0.0,0.0,127.56,0.0,0.8571428571428571,1.0879120879120878,1.0879120879120878,38.6,1.4,180,218.0,176.0,True,False,90.72,0.0,4.23,86.94
OGSH3810GP,Golden Eye Swimmer Head 3/8oz (1/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,0.0,10.0,10.0,1.0,23.0,68.0,0.0,6.52,0.0,6.52,6.52,6.52,0.03571428571428571,0.25274725274725274,0.25274725274725274,39.6,1.4,180,51.0,41.0,True,False,18.2,0.0,4.23,24.1
OGSH1840UN,Golden Eye Swimmer Head 1/8oz (4/0) Unpainted - 2pk,1.82,3.47,5.99,False,0.0,21.0,21.0,0.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274725274725275,0.5274725274725275,39.8,1.4,180,105.0,84.0,True,False,38.22,0.0,4.23,50.61
